"  crm_activities  ·  1,200 lignes  ·  8 colonnes",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
ACT0268,Follow-up,2023-02-06,CON0673,OPP0384,45,Follow-up on proposal sent last week.,EMP0048
ACT0269,Demo,2022-03-02,CON0122,OPP0363,60,Discussed roadmap and budget approval.,EMP0080
ACT0270,Site Visit,2022-01-09,CON0246,OPP0255,30,Follow-up on proposal sent last week.,EMP0130
ACT0271,Site Visit,2022-04-19,CON0060,OPP0104,30,Discussed roadmap and budget approval.,EMP0052
ACT0272,Email,2024-07-03,CON0564,OPP0424,90,POC results reviewed - client satisfied.,EMP0013
ACT0273,Email,2022-07-03,CON0283,OPP0017,15,Contract review scheduled for next month.,EMP0077
ACT0274,Proposal Review,2022-08-28,CON0247,OPP0055,120,Legal review of MSA initiated.,EMP0026
ACT0275,Proposal Review,2024-04-29,CON0047,OPP0400,120,Follow-up on proposal sent last week.,EMP0100
ACT0276,Meeting,2023-12-28,CON0701,OPP0367,90,Executive sponsor confirmed budget.,EMP0014
ACT0277,Follow-up,2022-07-21,CON0596,OPP0332,45,Competitive evaluation underway.,EMP0120
ACT0278,Webinar,2024-01-17,CON0010,OPP0322,15,Follow-up on proposal sent last week.,EMP0053
ACT0279,Proposal Review,2023-11-29,CON0229,OPP0173,90,Demo completed - positive reception from technical team.,EMP0031
ACT0280,Call,2024-08-25,CON0171,OPP0286,90,Renewal discussion started for next fiscal year.,EMP0114
ACT0281,Call,2024-08-23,CON0141,OPP0400,60,POC results reviewed - client satisfied.,EMP0015
ACT0282,Demo,2024-08-16,CON0115,OPP0485,60,Follow-up on proposal sent last week.,EMP0110
ACT0283,Call,2024-11-14,CON0114,OPP0399,90,Legal review of MSA initiated.,EMP0040
ACT0284,Meeting,2023-02-20,CON0694,OPP0306,90,Renewal discussion started for next fiscal year.,EMP0099
ACT0285,Follow-up,2024-09-12,CON0503,OPP0397,15,Stakeholder alignment meeting held.,EMP0051
ACT0286,Proposal Review,2023-11-25,CON0233,OPP0021,60,Security questionnaire submitted and reviewed.,EMP0108
ACT0287,Email,2022-01-15,CON0187,OPP0409,45,Stakeholder alignment meeting held.,EMP0004
ACT0288,Webinar,2023-12-22,CON0477,OPP0444,90,Discussed roadmap and budget approval.,EMP0004
ACT0289,Meeting,2023-06-11,CON0686,OPP0445,45,Contract review scheduled for next month.,EMP0035
ACT0290,Demo,2024-03-20,CON0191,OPP0084,15,Integration requirements clarified.,EMP0150
ACT0291,Call,2024-02-27,CON0617,OPP0343,60,Stakeholder alignment meeting held.,EMP0091
ACT0292,Proposal Review,2023-06-16,CON0408,OPP0342,60,Discussed roadmap and budget approval.,EMP0100
ACT0293,Proposal Review,2024-01-01,CON0068,OPP0224,90,New requirements gathered for phase 2.,EMP0031
ACT0294,Demo,2024-01-17,CON0714,OPP0384,30,Follow-up on proposal sent last week.,EMP0083
ACT0295,Call,2022-08-25,CON0417,OPP0459,45,Competitive evaluation underway.,EMP0038
ACT0296,Site Visit,2022-05-29,CON0005,OPP0246,15,Contract review scheduled for next month.,EMP0051
ACT0297,Webinar,2022-04-06,CON0665,OPP0268,45,Security questionnaire submitted and reviewed.,EMP0041
ACT0298,Follow-up,2023-03-10,CON0720,OPP0384,120,Follow-up on proposal sent last week.,EMP0138
ACT0299,Demo,2022-10-08,CON0296,OPP0278,45,Stakeholder alignment meeting held.,EMP0017
ACT0300,Demo,2022-02-18,CON0011,OPP0155,15,New requirements gathered for phase 2.,EMP0109
ACT0301,Email,2022-02-01,CON0324,OPP0440,30,Discussed roadmap and budget approval.,EMP0038
ACT0302,Email,2024-01-25,CON0073,OPP0194,60,New requirements gathered for phase 2.,EMP0094
ACT0303,Site Visit,2023-08-19,CON0414,OPP0366,30,Contract review scheduled for next month.,EMP0085
ACT0304,Demo,2023-09-27,CON0564,OPP0047,15,Discussed roadmap and budget approval.,EMP0084
ACT0305,Call,2022-08-31,CON0780,OPP0142,60,Integration requirements clarified.,EMP0067
ACT0306,Meeting,2024-10-01,CON0518,OPP0420,90,Executive sponsor confirmed budget.,EMP0109
ACT0307,Email,2023-10-18,CON0484,OPP0127,90,Pricing negotiation in progress.,EMP0083
ACT0308,Email,2022-10-08,CON0560,OPP0395,15,Security questionnaire submitted and reviewed.,EMP0115
ACT0309,Proposal Review,2023-11-06,CON0101,OPP0069,30,POC results reviewed - client satisfied.,EMP0096
ACT0310,Proposal Review,2024-11-03,CON0101,OPP0175,45,Decision maker out of office; rescheduled.,EMP0040
ACT0311,Site Visit,2022-04-04,CON0781,OPP0344,90,Legal review of MSA initiated.,EMP0042
ACT0312,Demo,2024-02-25,CON0020,OPP0079,45,Executive sponsor confirmed budget.,EMP0075
ACT0313,Site Visit,2024-01-28,CON0791,OPP0144,60,Executive sponsor confirmed budget.,EMP0119
ACT0314,Proposal Review,2022-10-17,CON0038,OPP0184,15,Legal review of MSA initiated.,EMP0027
ACT0315,Call,2024-08-01,CON0209,OPP0032,90,Legal review of MSA initiated.,EMP0032
ACT0316,Webinar,2024-02-26,CON0270,OPP0387,120,Legal review of MSA initiated.,EMP0137
ACT0317,Demo,2024-09-12,CON0681,OPP0371,15,Contract review scheduled for next month.,EMP0026
ACT0318,Proposal Review,2023-10-14,CON0315,OPP0117,90,Discussed roadmap and budget approval.,EMP0048
ACT0319,Proposal Review,2023-08-31,CON0075,OPP0431,45,Stakeholder alignment meeting held.,EMP0084
ACT0320,Proposal Review,2023-01-06,CON0393,OPP0026,30,POC results reviewed - client satisfied.,EMP0045
ACT0321,Webinar,2023-06-16,CON0790,OPP0385,60,Renewal discussion started for next fiscal year.,EMP0136
ACT0322,Site Visit,2022-10-30,CON0462,OPP0096,90,Stakeholder alignment meeting held.,EMP0077
ACT0323,Call,2024-07-07,CON0427,OPP0220,45,Demo completed - positive reception from technical team.,EMP0003
ACT0324,Proposal Review,2024-02-12,CON0700,OPP0106,30,Legal review of MSA initiated.,EMP0018
ACT0325,Demo,2023-11-24,CON0214,OPP0373,90,Security questionnaire submitted and reviewed.,EMP0103
ACT0326,Proposal Review,2024-05-05,CON0709,OPP0071,45,POC results reviewed - client satisfied.,EMP0033
ACT0327,Demo,2024-12-19,CON0442,OPP0370,90,Competitive evaluation underway.,EMP0122
ACT0328,Call,2024-04-12,CON0688,OPP0356,15,Executive sponsor confirmed budget.,EMP0068
ACT0329,Site Visit,2023-04-24,CON0181,OPP0030,120,Pricing negotiation in progress.,EMP0095
ACT0330,Demo,2023-06-16,CON0007,OPP0178,15,Renewal discussion started for next fiscal year.,EMP0135
ACT0331,Meeting,2024-08-29,CON0205,OPP0296,60,New requirements gathered for phase 2.,EMP0022
ACT0332,Webinar,2024-07-09,CON0440,OPP0488,45,Executive sponsor confirmed budget.,EMP0003
ACT0333,Webinar,2023-01-28,CON0699,OPP0336,120,Pricing negotiation in progress.,EMP0106
ACT0334,Proposal Review,2022-04-29,CON0755,OPP0243,90,POC results reviewed - client satisfied.,EMP0119
ACT0335,Proposal Review,2023-11-26,CON0353,OPP0131,30,Integration requirements clarified.,EMP0020
ACT0336,Call,2023-05-10,CON0540,OPP0133,30,Competitive evaluation underway.,EMP0047
ACT0337,Proposal Review,2023-03-07,CON0413,OPP0384,30,Legal review of MSA initiated.,EMP0053
ACT0338,Meeting,2022-05-03,CON0724,OPP0091,30,Renewal discussion started for next fiscal year.,EMP0038
ACT0339,Proposal Review,2022-07-31,CON0109,OPP0390,15,Competitive evaluation underway.,EMP0119
ACT0340,Webinar,2024-09-30,CON0437,OPP0311,15,Legal review of MSA initiated.,EMP0028
ACT0341,Site Visit,2022-12-03,CON0059,OPP0400,45,Demo completed - positive reception from technical team.,EMP0140
ACT0342,Webinar,2022-08-22,CON0296,OPP0138,90,Integration requirements clarified.,EMP0148
ACT0343,Demo,2022-03-08,CON0384,OPP0090,15,Competitive evaluation underway.,EMP0109
ACT0344,Call,2023-03-01,CON0599,OPP0439,30,Demo completed - positive reception from technical team.,EMP0008
ACT0345,Meeting,2024-04-26,CON0583,OPP0407,90,Discussed roadmap and budget approval.,EMP0025
ACT0346,Follow-up,2023-01-13,CON0695,OPP0204,45,Legal review of MSA initiated.,EMP0020
ACT0347,Call,2024-05-14,CON0560,OPP0013,15,Legal review of MSA initiated.,EMP0119
ACT0348,Call,2023-03-19,CON0083,OPP0205,30,Legal review of MSA initiated.,EMP0011
ACT0349,Webinar,2022-01-23,CON0034,OPP0150,90,Contract review scheduled for next month.,EMP0054
ACT0350,Meeting,2024-04-26,CON0470,OPP0094,45,Security questionnaire submitted and reviewed.,EMP0072
ACT0351,Site Visit,2023-04-04,CON0116,OPP0442,60,Demo completed - positive reception from technical team.,EMP0145
ACT0352,Follow-up,2024-06-27,CON0444,OPP0124,90,Discussed roadmap and budget approval.,EMP0139
ACT0353,Demo,2022-03-08,CON0760,OPP0204,45,Decision maker out of office; rescheduled.,EMP0016
ACT0354,Meeting,2023-12-18,CON0631,OPP0374,90,Competitive evaluation underway.,EMP0141
ACT0355,Webinar,2022-08-11,CON0716,OPP0310,30,New requirements gathered for phase 2.,EMP0058
ACT0356,Meeting,2024-08-04,CON0718,OPP0081,60,Demo completed - positive reception from technical team.,EMP0139
ACT0357,Email,2022-11-24,CON0587,OPP0061,60,Contract review scheduled for next month.,EMP0090
ACT0358,Call,2023-09-04,CON0791,OPP0289,60,Discussed roadmap and budget approval.,EMP0033
ACT0359,Site Visit,2024-05-09,CON0464,OPP0203,120,Pricing negotiation in progress.,EMP0044
ACT0360,Proposal Review,2022-12-07,CON0567,OPP0330,45,Pricing negotiation in progress.,EMP0053
ACT0361,Proposal Review,2023-06-27,CON0639,OPP0384,120,POC results reviewed - client satisfied.,EMP0096
ACT0362,Call,2024-07-16,CON0741,OPP0001,90,Competitive evaluation underway.,EMP0140
ACT0363,Site Visit,2023-09-10,CON0003,OPP0215,120,Legal review of MSA initiated.,EMP0094
ACT0364,Site Visit,2022-02-14,CON0174,OPP0023,90,Discussed roadmap and budget approval.,EMP0027
ACT0365,Meeting,2022-04-06,CON0170,OPP0096,15,Security questionnaire submitted and reviewed.,EMP0096
ACT0366,Follow-up,2023-05-03,CON0635,OPP0017,45,Decision maker out of office; rescheduled.,EMP0139
ACT0367,Call,2023-04-07,CON0178,OPP0461,30,Pricing negotiation in progress.,EMP0050
ACT0368,Demo,2023-02-27,CON0178,OPP0004,30,Contract review scheduled for next month.,EMP0092
ACT0369,Email,2022-03-25,CON0158,OPP0415,45,Security questionnaire submitted and reviewed.,EMP0085
ACT0370,Webinar,2022-05-02,CON0117,OPP0317,120,Contract review scheduled for next month.,EMP0087
ACT0371,Follow-up,2023-11-04,CON0736,OPP0350,15,Contract review scheduled for next month.,EMP0104
ACT0372,Follow-up,2023-03-03,CON0639,OPP0100,30,Contract review scheduled for next month.,EMP0042
ACT0373,Follow-up,2023-05-20,CON0404,OPP0471,30,POC results reviewed - client satisfied.,EMP0110
ACT0374,Meeting,2022-01-15,CON0551,OPP0014,45,POC results reviewed - client satisfied.,EMP0138
ACT0375,Demo,2022-09-08,CON0130,OPP0426,45,Executive sponsor confirmed budget.,EMP0070
ACT0376,Email,2022-11-28,CON0594,OPP0030,60,Executive sponsor confirmed budget.,EMP0086
ACT0377,Site Visit,2023-10-04,CON0627,OPP0308,90,Demo completed - positive reception from technical team.,EMP0015
ACT0378,Email,2022-10-20,CON0249,OPP0496,60,Integration requirements clarified.,EMP0051
ACT0379,Email,2024-09-12,CON0471,OPP0159,90,Pricing negotiation in progress.,EMP0072
ACT0380,Meeting,2022-05-15,CON0016,OPP0197,30,POC results reviewed - client satisfied.,EMP0069
ACT0381,Email,2023-02-21,CON0459,OPP0176,90,Executive sponsor confirmed budget.,EMP0026
ACT0382,Meeting,2023-01-06,CON0406,OPP0229,15,New requirements gathered for phase 2.,EMP0059
ACT0383,Email,2024-09-13,CON0382,OPP0119,120,Integration requirements clarified.,EMP0033
ACT0384,Site Visit,2023-07-16,CON0485,OPP0164,30,Renewal discussion started for next fiscal year.,EMP0131
ACT0385,Site Visit,2023-05-31,CON0393,OPP0053,30,New requirements gathered for phase 2.,EMP0007
ACT0386,Site Visit,2022-09-04,CON0460,OPP0415,30,Discussed roadmap and budget approval.,EMP0002
ACT0387,Meeting,2024-12-27,CON0276,OPP0162,30,Decision maker out of office; rescheduled.,EMP0016
ACT0388,Demo,2022-12-07,CON0723,OPP0055,15,Pricing negotiation in progress.,EMP0059
ACT0389,Webinar,2023-12-28,CON0011,OPP0163,15,Decision maker out of office; rescheduled.,EMP0054
ACT0390,Meeting,2022-07-25,CON0596,OPP0328,15,Decision maker out of office; rescheduled.,EMP0061
ACT0391,Call,2024-11-25,CON0453,OPP0249,90,Legal review of MSA initiated.,EMP0036
ACT0392,Follow-up,2024-08-12,CON0620,OPP0499,30,Pricing negotiation in progress.,EMP0065
ACT0393,Meeting,2022-11-11,CON0096,OPP0257,90,Contract review scheduled for next month.,EMP0066
ACT0394,Webinar,2022-08-13,CON0605,OPP0093,120,Security questionnaire submitted and reviewed.,EMP0002
ACT0395,Follow-up,2024-09-16,CON0505,OPP0022,60,Legal review of MSA initiated.,EMP0098
ACT0396,Demo,2023-03-04,CON0241,OPP0388,30,POC results reviewed - client satisfied.,EMP0143
ACT0397,Site Visit,2023-12-27,CON0098,OPP0184,90,Discussed roadmap and budget approval.,EMP0043
ACT0398,Webinar,2024-08-14,CON0734,OPP0278,120,Decision maker out of office; rescheduled.,EMP0111
ACT0399,Follow-up,2022-04-28,CON0533,OPP0171,120,Stakeholder alignment meeting held.,EMP0092
ACT0400,Demo,2022-12-18,CON0794,OPP0165,120,Integration requirements clarified.,EMP0123
ACT0401,Meeting,2024-04-08,CON0177,OPP0010,120,Stakeholder alignment meeting held.,EMP0069
ACT0402,Site Visit,2024-09-14,CON0129,OPP0338,90,Executive sponsor confirmed budget.,EMP0044
ACT0403,Webinar,2023-09-17,CON0222,OPP0442,120,Competitive evaluation underway.,EMP0082
ACT0404,Webinar,2022-06-14,CON0600,OPP0201,30,Stakeholder alignment meeting held.,EMP0041
ACT0405,Meeting,2023-01-11,CON0359,OPP0005,15,Stakeholder alignment meeting held.,EMP0047
ACT0406,Webinar,2024-04-10,CON0173,OPP0388,45,Legal review of MSA initiated.,EMP0045
ACT0407,Site Visit,2023-01-22,CON0604,OPP0390,45,Security questionnaire submitted and reviewed.,EMP0047
ACT0408,Call,2022-07-05,CON0174,OPP0406,30,Contract review scheduled for next month.,EMP0071
ACT0409,Email,2023-08-12,CON0584,OPP0294,30,POC results reviewed - client satisfied.,EMP0003
ACT0410,Call,2024-05-05,CON0404,OPP0088,120,Legal review of MSA initiated.,EMP0011
ACT0411,Meeting,2024-04-19,CON0409,OPP0001,45,Security questionnaire submitted and reviewed.,EMP0088
ACT0412,Call,2024-01-10,CON0441,OPP0100,30,Follow-up on proposal sent last week.,EMP0123
ACT0413,Follow-up,2022-03-22,CON0020,OPP0368,30,POC results reviewed - client satisfied.,EMP0020
ACT0414,Call,2022-06-22,CON0589,OPP0113,30,Pricing negotiation in progress.,EMP0052
ACT0415,Meeting,2022-10-03,CON0165,OPP0153,60,Follow-up on proposal sent last week.,EMP0023
ACT0416,Demo,2024-02-22,CON0006,OPP0356,15,Integration requirements clarified.,EMP0006
ACT0417,Meeting,2024-08-02,CON0498,OPP0338,15,Pricing negotiation in progress.,EMP0103
ACT0418,Follow-up,2024-03-30,CON0114,OPP0473,120,New requirements gathered for phase 2.,EMP0108
ACT0419,Call,2024-08-28,CON0447,OPP0446,30,Integration requirements clarified.,EMP0073
ACT0420,Demo,2024-12-12,CON0731,OPP0481,45,Discussed roadmap and budget approval.,EMP0004
ACT0421,Webinar,2023-04-13,CON0475,OPP0089,30,Decision maker out of office; rescheduled.,EMP0109
ACT0422,Email,2024-06-29,CON0436,OPP0338,30,Competitive evaluation underway.,EMP0058
ACT0423,Email,2023-02-26,CON0203,OPP0403,60,Follow-up on proposal sent last week.,EMP0004
ACT0424,Follow-up,2023-08-03,CON0730,OPP0048,60,Decision maker out of office; rescheduled.,EMP0036
ACT0425,Demo,2022-07-23,CON0399,OPP0179,45,Security questionnaire submitted and reviewed.,EMP0074
ACT0426,Email,2023-02-07,CON0471,OPP0092,60,Legal review of MSA initiated.,EMP0100
ACT0427,Webinar,2024-09-03,CON0431,OPP0458,15,Integration requirements clarified.,EMP0054
ACT0428,Follow-up,2023-08-22,CON0185,OPP0320,15,Competitive evaluation underway.,EMP0072
ACT0429,Site Visit,2022-05-23,CON0485,OPP0168,45,Follow-up on proposal sent last week.,EMP0131
ACT0430,Proposal Review,2022-02-10,CON0089,OPP0428,60,POC results reviewed - client satisfied.,EMP0145
ACT0431,Demo,2022-12-20,CON0307,OPP0358,30,Discussed roadmap and budget approval.,EMP0044
ACT0432,Follow-up,2023-03-25,CON0456,OPP0158,45,Executive sponsor confirmed budget.,EMP0069
ACT0433,Email,2024-10-13,CON0173,OPP0113,45,Pricing negotiation in progress.,EMP0110
ACT0434,Webinar,2023-02-07,CON0514,OPP0422,60,POC results reviewed - client satisfied.,EMP0066
ACT0435,Proposal Review,2022-01-23,CON0170,OPP0184,45,Executive sponsor confirmed budget.,EMP0138
ACT0436,Webinar,2023-04-07,CON0388,OPP0432,30,Integration requirements clarified.,EMP0144
ACT0437,Call,2023-07-30,CON0705,OPP0240,30,Contract review scheduled for next month.,EMP0133
ACT0438,Site Visit,2023-06-30,CON0065,OPP0335,15,Discussed roadmap and budget approval.,EMP0087
ACT0439,Demo,2024-10-22,CON0346,OPP0321,45,Legal review of MSA initiated.,EMP0069
ACT0440,Meeting,2022-07-07,CON0401,OPP0372,45,Contract review scheduled for next month.,EMP0083
ACT0441,Call,2022-03-08,CON0596,OPP0400,30,Legal review of MSA initiated.,EMP0137
ACT0442,Email,2023-06-21,CON0689,OPP0219,15,Decision maker out of office; rescheduled.,EMP0126
ACT0443,Site Visit,2022-07-12,CON0301,OPP0114,60,Stakeholder alignment meeting held.,EMP0134
ACT0444,Follow-up,2023-07-19,CON0218,OPP0235,15,Integration requirements clarified.,EMP0097
ACT0445,Email,2024-07-13,CON0668,OPP0494,45,Security questionnaire submitted and reviewed.,EMP0107
ACT0446,Follow-up,2024-04-28,CON0479,OPP0068,120,Security questionnaire submitted and reviewed.,EMP0100
ACT0447,Demo,2024-04-07,CON0567,OPP0474,15,Pricing negotiation in progress.,EMP0077
ACT0448,Email,2024-11-29,CON0382,OPP0419,90,New requirements gathered for phase 2.,EMP0147
ACT0449,Call,2022-05-03,CON0153,OPP0232,60,Security questionnaire submitted and reviewed.,EMP0043
ACT0450,Email,2022-01-23,CON0796,OPP0265,45,Pricing negotiation in progress.,EMP0011
ACT0451,Proposal Review,2024-02-28,CON0021,OPP0149,30,Pricing negotiation in progress.,EMP0106
ACT0452,Site Visit,2022-03-10,CON0346,OPP0461,15,Contract review scheduled for next month.,EMP0064
ACT0453,Proposal Review,2023-07-01,CON0436,OPP0304,90,Contract review scheduled for next month.,EMP0055
ACT0454,Call,2024-03-22,CON0495,OPP0331,60,Renewal discussion started for next fiscal year.,EMP0055
ACT0455,Call,2024-04-08,CON0483,OPP0359,15,Stakeholder alignment meeting held.,EMP0035
ACT0456,Meeting,2023-01-11,CON0431,OPP0211,60,Security questionnaire submitted and reviewed.,EMP0148
ACT0457,Follow-up,2022-06-16,CON0630,OPP0009,90,Legal review of MSA initiated.,EMP0131
ACT0458,Site Visit,2023-11-05,CON0224,OPP0258,45,Renewal discussion started for next fiscal year.,EMP0012
ACT0459,Site Visit,2024-08-22,CON0770,OPP0106,90,Integration requirements clarified.,EMP0053
ACT0460,Follow-up,2022-12-13,CON0714,OPP0264,120,POC results reviewed - client satisfied.,EMP0129
ACT0461,Proposal Review,2024-03-29,CON0025,OPP0380,45,Executive sponsor confirmed budget.,EMP0083
ACT0462,Call,2023-09-12,CON0585,OPP0071,30,Competitive evaluation underway.,EMP0031
ACT0463,Proposal Review,2022-05-01,CON0269,OPP0332,90,Integration requirements clarified.,EMP0020
ACT0464,Site Visit,2024-06-25,CON0031,OPP0209,60,Contract review scheduled for next month.,EMP0048
ACT0465,Call,2022-05-23,CON0412,OPP0391,30,POC results reviewed - client satisfied.,EMP0004
ACT0466,Proposal Review,2023-01-28,CON0595,OPP0298,30,Executive sponsor confirmed budget.,EMP0131
ACT0467,Email,2022-11-24,CON0503,OPP0062,90,Demo completed - positive reception from technical team.,EMP0108
ACT0468,Webinar,2023-02-22,CON0792,OPP0412,30,Legal review of MSA initiated.,EMP0024
ACT0469,Proposal Review,2022-01-13,CON0547,OPP0217,45,POC results reviewed - client satisfied.,EMP0068
ACT0470,Meeting,2024-04-09,CON0602,OPP0150,30,Discussed roadmap and budget approval.,EMP0053
ACT0471,Demo,2022-06-28,CON0691,OPP0395,30,Pricing negotiation in progress.,EMP0078
ACT0472,Call,2022-08-20,CON0290,OPP0184,90,POC results reviewed - client satisfied.,EMP0108
ACT0473,Proposal Review,2022-02-24,CON0390,OPP0307,30,Follow-up on proposal sent last week.,EMP0088
ACT0474,Proposal Review,2023-01-24,CON0003,OPP0189,45,POC results reviewed - client satisfied.,EMP0136
ACT0475,Meeting,2023-07-11,CON0238,OPP0288,90,New requirements gathered for phase 2.,EMP0072
ACT0476,Demo,2022-04-22,CON0715,OPP0076,120,Renewal discussion started for next fiscal year.,EMP0020
ACT0477,Proposal Review,2022-08-17,CON0425,OPP0242,90,Competitive evaluation underway.,EMP0002
ACT0478,Site Visit,2024-02-11,CON0657,OPP0139,120,Contract review scheduled for next month.,EMP0030
ACT0479,Webinar,2024-12-16,CON0594,OPP0443,15,Follow-up on proposal sent last week.,EMP0098
ACT0480,Follow-up,2022-10-18,CON0670,OPP0262,15,Pricing negotiation in progress.,EMP0001
ACT0481,Demo,2024-07-08,CON0794,OPP0024,15,Legal review of MSA initiated.,EMP0014
ACT0482,Meeting,2024-04-24,CON0646,OPP0153,15,Legal review of MSA initiated.,EMP0013
ACT0483,Demo,2022-03-05,CON0526,OPP0323,90,Discussed roadmap and budget approval.,EMP0133
ACT0484,Email,2024-07-19,CON0164,OPP0206,30,Stakeholder alignment meeting held.,EMP0043
ACT0485,Site Visit,2022-12-23,CON0667,OPP0446,45,Competitive evaluation underway.,EMP0077
ACT0486,Webinar,2022-03-03,CON0677,OPP0436,15,Legal review of MSA initiated.,EMP0038
ACT0487,Webinar,2023-01-12,CON0657,OPP0332,60,Renewal discussion started for next fiscal year.,EMP0071
ACT0488,Email,2022-06-04,CON0430,OPP0277,15,Integration requirements clarified.,EMP0029
ACT0489,Site Visit,2022-08-14,CON0176,OPP0410,60,Integration requirements clarified.,EMP0101
ACT0490,Meeting,2022-02-01,CON0571,OPP0017,90,Demo completed - positive reception from technical team.,EMP0005
ACT0491,Demo,2022-09-03,CON0468,OPP0030,120,Executive sponsor confirmed budget.,EMP0045
ACT0492,Site Visit,2023-02-03,CON0689,OPP0462,45,Decision maker out of office; rescheduled.,EMP0069
ACT0493,Demo,2023-10-30,CON0610,OPP0196,120,Renewal discussion started for next fiscal year.,EMP0048
ACT0494,Follow-up,2023-11-16,CON0535,OPP0349,60,Security questionnaire submitted and reviewed.,EMP0002
ACT0495,Email,2023-01-01,CON0012,OPP0377,120,Decision maker out of office; rescheduled.,EMP0037
ACT0496,Follow-up,2022-11-29,CON0674,OPP0449,45,Contract review scheduled for next month.,EMP0105
ACT0497,Call,2022-07-04,CON0160,OPP0490,30,Legal review of MSA initiated.,EMP0094
ACT0498,Demo,2022-01-19,CON0188,OPP0283,45,POC results reviewed - client satisfied.,EMP0116
ACT0499,Site Visit,2022-05-01,CON0256,OPP0313,60,Renewal discussion started for next fiscal year.,EMP0115
ACT0500,Call,2022-09-28,CON0773,OPP0151,30,Integration requirements clarified.,EMP0082
ACT0501,Meeting,2023-09-24,CON0044,OPP0181,45,Contract review scheduled for next month.,EMP0109
ACT0502,Follow-up,2024-10-23,CON0772,OPP0041,120,Stakeholder alignment meeting held.,EMP0113
ACT0503,Webinar,2023-07-25,CON0696,OPP0009,30,Competitive evaluation underway.,EMP0103
ACT0504,Follow-up,2024-11-10,CON0560,OPP0076,15,Pricing negotiation in progress.,EMP0146
ACT0505,Proposal Review,2024-10-17,CON0255,OPP0266,45,Decision maker out of office; rescheduled.,EMP0103
ACT0506,Site Visit,2022-11-08,CON0203,OPP0492,30,Contract review scheduled for next month.,EMP0110
ACT0507,Call,2024-02-20,CON0413,OPP0414,60,POC results reviewed - client satisfied.,EMP0136
ACT0508,Site Visit,2023-08-05,CON0600,OPP0038,30,Pricing negotiation in progress.,EMP0149
ACT0509,Follow-up,2024-09-19,CON0683,OPP0464,30,Demo completed - positive reception from technical team.,EMP0013
ACT0510,Follow-up,2023-01-16,CON0620,OPP0269,60,Demo completed - positive reception from technical team.,EMP0043
ACT0511,Site Visit,2022-09-21,CON0012,OPP0197,60,Integration requirements clarified.,EMP0019
ACT0512,Proposal Review,2024-04-15,CON0182,OPP0097,45,Integration requirements clarified.,EMP0040
ACT0513,Demo,2023-03-18,CON0329,OPP0385,90,New requirements gathered for phase 2.,EMP0123
ACT0514,Site Visit,2024-11-20,CON0476,OPP0364,60,Legal review of MSA initiated.,EMP0048
ACT0515,Webinar,2024-06-07,CON0013,OPP0155,15,Contract review scheduled for next month.,EMP0066
ACT0516,Meeting,2022-04-11,CON0536,OPP0486,45,Security questionnaire submitted and reviewed.,EMP0064
ACT0517,Email,2023-11-02,CON0205,OPP0309,90,New requirements gathered for phase 2.,EMP0049
ACT0518,Email,2022-11-13,CON0130,OPP0207,15,Discussed roadmap and budget approval.,EMP0002
ACT0519,Email,2023-08-17,CON0305,OPP0026,120,Renewal discussion started for next fiscal year.,EMP0120
ACT0520,Site Visit,2022-10-28,CON0632,OPP0371,120,Follow-up on proposal sent last week.,EMP0079
ACT0521,Demo,2022-03-11,CON0292,OPP0375,90,Follow-up on proposal sent last week.,EMP0056
ACT0522,Follow-up,2022-08-31,CON0018,OPP0105,90,Executive sponsor confirmed budget.,EMP0148
ACT0523,Proposal Review,2023-10-21,CON0156,OPP0462,120,Competitive evaluation underway.,EMP0140
ACT0524,Proposal Review,2022-09-29,CON0034,OPP0303,90,Stakeholder alignment meeting held.,EMP0112
ACT0525,Webinar,2024-02-25,CON0305,OPP0082,120,Executive sponsor confirmed budget.,EMP0035
ACT0526,Follow-up,2022-01-24,CON0338,OPP0318,120,Renewal discussion started for next fiscal year.,EMP0039
ACT0527,Call,2024-11-28,CON0188,OPP0120,45,Competitive evaluation underway.,EMP0060
ACT0528,Call,2024-09-19,CON0437,OPP0220,90,Executive sponsor confirmed budget.,EMP0027
ACT0529,Follow-up,2024-03-31,CON0129,OPP0469,90,Competitive evaluation underway.,EMP0140
ACT0530,Call,2024-01-28,CON0412,OPP0274,30,Security questionnaire submitted and reviewed.,EMP0002
ACT0531,Email,2024-08-28,CON0675,OPP0187,30,Renewal discussion started for next fiscal year.,EMP0001
ACT0532,Proposal Review,2024-04-16,CON0419,OPP0052,90,Integration requirements clarified.,EMP0147
ACT0533,Webinar,2024-09-10,CON0157,OPP0388,120,Security questionnaire submitted and reviewed.,EMP0075
ACT0534,Call,2023-09-27,CON0254,OPP0408,45,Legal review of MSA initiated.,EMP0066
ACT0535,Email,2022-12-01,CON0326,OPP0116,15,Renewal discussion started for next fiscal year.,EMP0050
ACT0536,Proposal Review,2023-10-09,CON0415,OPP0050,15,Discussed roadmap and budget approval.,EMP0128
ACT0537,Proposal Review,2024-10-12,CON0202,OPP0329,30,Follow-up on proposal sent last week.,EMP0128
ACT0538,Webinar,2022-05-08,CON0232,OPP0215,15,Executive sponsor confirmed budget.,EMP0148
